Season     | Team       | X=20     | X=50     | X=85    
-------------------------------------------------------
20142015   | Lightning  | 0.71     | 4.0      | 4.57    
20142015   | Rangers    | -4.0     | -5.0     | -0.29   
20152016   | Lightning  | -1.14    | 4.29     | 5.29    
20152016   | Rangers    | 0.14     | -4.0     | -0.43   
20162017   | Lightning  | -0.14    | 4.0      | 6.14    
20162017   | Rangers    | 1.71     | -4.0     | -0.43   
20172018   | Lightning  | -0.86    | 3.29     | 8.14    
20172018   | Rangers    | 2.57     | -4.0     | -0.29   
20182019   | Lightning  | -0.71    | 2.71     | 5.29    
20182019   | Rangers    | 3.14     | -4.0     | -0.14   
20192020   | Lightning  | -3.14    | 1.14     | 4.29    
20192020   | Rangers    | 2.29     | -2.86    | -0.14   
20202021   | Lightning  | -3.71    | -0.14    | 3.0     
20202021   | Rangers    | 3.71     | -1.43    | -0.57   
20212022   | Lightning  | -4.71    | -1.0     | 2.29    
20212022   | Rangers    | 1.14     | -1.29    | -0.14   
20222023   | Lightning  | -2.29    | -0.86    | 1.71    
20222023   | Rangers    | -0.86    | -1.0     | 0.29    
20232024   | Lightning  | -1.86    | 0.0      | 1.0     
20232024   | Rangers    | -2.14    | -1.0     | 0.43    
20242025   | Lightning  | 0.29     | 0.0      | 1.0     
20242025   | Rangers    | -2.0     | 0.0      | 0.71    
20252026   | Lightning  | -1.14    | 1.0      | 1.0     
20252026   | Rangers    | 0.57     | 1.0      | 0.71    
