Config: Platform=Mac/PC, Workers=4
Data Dir: C:/Users/harri/Desktop/new_puck/data
--- Analyzing Crease Drop-off ---

Cross-section at y ~ -1.5:
             x         y  distance  angle_deg        xg
120  80.000000 -1.842105  9.186585  78.432560  0.008073
121  80.473684 -1.842105  8.723039  77.808664  0.009340
122  80.947368 -1.842105  8.260643  77.114831  0.008780
123  81.421053 -1.842105  7.799602  76.338846  0.008178
124  81.894737 -1.842105  7.340171  75.465545  0.008114
125  82.368421 -1.842105  6.882673  74.475889  0.008049
126  82.842105 -1.842105  6.427520  73.345694  0.007983
127  83.315789 -1.842105  5.975249  72.043835  0.007902
128  83.789474 -1.842105  5.526566  70.529698  0.007919
129  84.263158 -1.842105  5.082423  68.749494  0.007938
130  84.736842 -1.842105  4.644122  66.630887  0.007934
131  85.210526 -1.842105  4.213486  64.075098  0.007945
132  85.684211 -1.842105  3.793127  60.945396  0.007961
133  86.157895 -1.842105  3.386874  57.050785  0.007959
134  86.631579 -1.842105  3.000462  52.125016  0.008005
135  87.105263 -1.842105  2.642608  45.806929  0.427587
136  87.578947 -1.842105  2.326530  37.647621  0.210409
137  88.052632 -1.842105  2.071439  27.216112  0.273617
138  88.526316 -1.842105  1.902033  14.420773  0.169558
139  89.000000 -1.842105  1.842105   0.000000  0.088756

Plot saved to analysis/nested_xgs/crease_deepdive.png
