Loading data/edge_goals/20232024/game_2023020033_goal_195_positions.csv...

Frame | X     | Y     | Speed | Accel | AngleStd | Trigger?
------------------------------------------------------------
   45 |  37.0 | -38.4 | 116.7 |  -0.7 |      1.8 |  [HI-SPD]
   46 |  35.9 | -38.0 | 115.7 |  -0.9 |      1.2 |  [HI-SPD]
   47 |  34.8 | -37.6 | 114.8 |  -1.0 |      1.1 |  [HI-SPD]
   48 |  33.7 | -37.2 | 114.2 |  -0.6 |      0.8 |  [HI-SPD]
   49 |  32.7 | -36.7 | 111.5 |  -2.7 |      5.2 |  [HI-SPD]
   50 |  31.7 | -36.4 | 104.1 |  -7.4 |      8.3 |  [HI-SPD]
   51 |  30.9 | -36.2 |  82.0 | -22.1 |     14.7 |  [HI-SPD]
   52 |  30.1 | -36.2 |  77.9 |  -4.0 |     61.2 | 
   53 |  29.9 | -35.9 |  39.2 | -38.7 |     75.0 | 
   54 |  36.0 | -32.7 | 691.7 | 652.5 |     72.4 |  [BURST]
   55 |  43.6 | -28.9 | 848.0 | 156.3 |     49.4 |  [BURST]
   56 |  51.0 | -25.2 | 828.8 | -19.2 |      0.8 |  [HI-SPD]
   57 |  58.1 | -21.4 | 811.9 | -16.9 |      1.0 |  [HI-SPD]
   58 |  65.1 | -17.6 | 792.5 | -19.4 |      1.0 |  [HI-SPD]
   59 |  71.9 | -13.9 | 769.3 | -23.2 |      1.2 |  [HI-SPD]
   60 |  78.3 | -10.2 | 746.4 | -22.9 |     23.1 |  [HI-SPD]
   61 |  82.3 |  -7.9 | 460.4 | -286.0 |     67.1 | 
   62 |  82.3 |  -7.7 |  21.9 | -438.6 |     75.0 | 
   63 |  82.1 |  -7.7 |  28.2 |   6.4 |     69.7 | 
   64 |  81.7 |  -7.6 |  33.8 |   5.6 |     44.4 | 
   65 |  81.1 |  -7.6 |  64.6 |  30.8 |      4.5 |  [HI-SPD] [BURST]
   66 |  80.3 |  -7.7 |  77.2 |  12.6 |     16.7 |  [HI-SPD] [BURST]
   67 |  79.6 |  -7.7 |  73.6 |  -3.5 |     28.7 |  [HI-SPD]
   68 |  78.7 |  -7.0 | 114.2 |  40.6 |     31.4 |  [HI-SPD] [BURST]
   69 |  77.3 |  -4.5 | 279.6 | 165.4 |     26.9 |  [HI-SPD] [BURST]
   70 |  76.0 |  -2.2 | 269.0 | -10.6 |     10.6 |  [HI-SPD]
