Loading data/edge_goals/20232024/game_2023020033_goal_195_positions.csv...

Frame | X     | Y     | Speed | Accel | AngleStd | Trigger?
-----------------------------------------------------------------
   45 |  37.0 | -38.4 |  11.7 |  -0.1 |      1.8 |  [HI-SPD]
   46 |  35.9 | -38.0 |  11.6 |  -0.1 |      1.2 |  [HI-SPD]
   47 |  34.8 | -37.6 |  11.5 |  -0.1 |      1.1 |  [HI-SPD]
   48 |  33.7 | -37.2 |  11.4 |  -0.1 |      0.8 |  [HI-SPD]
   49 |  32.7 | -36.7 |  11.1 |  -0.3 |      5.2 |  [HI-SPD]
   50 |  31.7 | -36.4 |  10.4 |  -0.7 |      8.3 |  [HI-SPD]
   51 |  30.9 | -36.2 |   8.2 |  -2.2 |     14.7 | 
   52 |  30.1 | -36.2 |   7.8 |  -0.4 |     61.2 | 
   53 |  29.9 | -35.9 |   3.9 |  -3.9 |     75.0 | 
   54 |  36.0 | -32.7 |  69.2 |  65.3 |     72.4 |  [BURST]
   55 |  43.6 | -28.9 |  84.8 |  15.6 |     49.4 |  [BURST]
   56 |  51.0 | -25.2 |  82.9 |  -1.9 |      0.8 |  [HI-SPD]
   57 |  58.1 | -21.4 |  81.2 |  -1.7 |      1.0 |  [HI-SPD]
   58 |  65.1 | -17.6 |  79.3 |  -1.9 |      1.0 |  [HI-SPD]
   59 |  71.9 | -13.9 |  76.9 |  -2.3 |      1.2 |  [HI-SPD]
   60 |  78.3 | -10.2 |  74.6 |  -2.3 |     23.1 |  [HI-SPD]
   61 |  82.3 |  -7.9 |  46.0 | -28.6 |     67.1 | 
   62 |  82.3 |  -7.7 |   2.2 | -43.9 |     75.0 | 
   63 |  82.1 |  -7.7 |   2.8 |   0.6 |     69.7 | 
   64 |  81.7 |  -7.6 |   3.4 |   0.6 |     44.4 | 
   65 |  81.1 |  -7.6 |   6.5 |   3.1 |      4.5 | 
   66 |  80.3 |  -7.7 |   7.7 |   1.3 |     16.7 | 
   67 |  79.6 |  -7.7 |   7.4 |  -0.4 |     28.7 | 
   68 |  78.7 |  -7.0 |  11.4 |   4.1 |     31.4 |  [HI-SPD]
   69 |  77.3 |  -4.5 |  28.0 |  16.5 |     26.9 |  [HI-SPD] [BURST]
   70 |  76.0 |  -2.2 |  26.9 |  -1.1 |     10.6 |  [HI-SPD]
