event,x,y,x_adj,y_adj,game_state,is_net_empty,period,period_time,player_id,player_name,team_id,home_id,away_id,home_abb,away_abb,home_team_defending_side,game_id,shot_type,score_diff,home_score,away_score,period_number,time_elapsed_in_period_s,total_time_elapsed_s,synthetic,predicted_penalty_duration_seconds,predicted_penalty_end_total_seconds,periodTime_seconds_elapsed,total_time_elapsed_seconds,distance,angle_deg,last_event_type,last_event_time_diff,is_rebound,rebound_angle_change,rebound_time_diff,is_rush
faceoff,0.0,0.0,0.0,0.0,5v5,0,1,20:00,,,16,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,0.0,0.0,,,,0,0,89.0,90.0,,,0,,,0
blocked-shot,-61.0,3.0,-61.57,3.29,5v5,0,1,19:38,8473419.0,Brad Marchand,13,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,22.0,22.0,,,,22,22,28.16025568065745,83.8844964337146,faceoff,22.0,0,,,0
faceoff,-69.0,22.0,-69.0,22.0,5v5,0,1,19:26,,,16,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,34.0,34.0,,,,34,34,159.52429282087414,97.9269266826896,blocked-shot,12.0,0,,,0
giveaway,-41.0,38.0,-41.0,38.0,5v5,0,1,19:14,8482113.0,Anton Lundell,13,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,46.0,46.0,,,,46,46,61.220911460055866,51.63251461513847,faceoff,12.0,0,,,0
giveaway,-13.0,-31.0,-13.0,-31.0,5v5,0,1,18:50,8484783.0,Artyom Levshunov,16,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,70.0,70.0,,,,70,70,106.60675400742676,73.09484190136435,giveaway,24.0,0,,,0
blocked-shot,-64.0,-16.0,-64.14,-17.0,5v5,0,1,18:47,8482713.0,Mackie Samoskevich,13,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,73.0,73.0,,,,73,73,29.68164415931166,122.61924307119284,giveaway,3.0,0,,,1
faceoff,-69.0,-22.0,-69.0,-22.0,5v5,0,1,18:45,,,13,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,75.0,75.0,,,,75,75,29.73213749463701,137.72631099390625,blocked-shot,2.0,0,,,0
shot-on-goal,-58.0,-22.0,-59.14,-22.14,5v5,0,1,18:44,8478542.0,Evan Rodrigues,13,13,16,FLA,CHI,right,2025020001,wrist,0.0,0.0,0.0,1.0,76.0,76.0,,,,76,76,38.01315561749642,125.36246188706906,faceoff,1.0,1,2.7432188158762187,3.0,0
faceoff,-69.0,-22.0,-69.0,-22.0,5v5,0,1,18:43,,,16,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,77.0,77.0,,,,77,77,159.52429282087414,82.0730733173104,shot-on-goal,1.0,0,,,0
faceoff,-69.0,-22.0,-69.0,-22.0,5v5,0,1,18:28,,,13,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,92.0,92.0,,,,92,92,29.73213749463701,137.72631099390625,faceoff,15.0,0,,,0
shot-on-goal,-33.0,-19.0,-34.14,-19.57,5v5,0,1,18:25,8478055.0,Gustav Forsling,13,13,16,FLA,CHI,right,2025020001,slap,0.0,0.0,0.0,1.0,95.0,95.0,,,,95,95,59.13543776789008,108.74134044519272,faceoff,3.0,0,,,0
faceoff,-69.0,-22.0,-69.0,-22.0,5v5,0,1,18:24,,,13,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,96.0,96.0,,,,96,96,29.73213749463701,137.72631099390625,shot-on-goal,1.0,0,,,0
missed-shot,55.0,-29.0,56.29,-29.0,5v5,0,1,18:16,8484144.0,Connor Bedard,16,13,16,FLA,CHI,right,2025020001,snap,0.0,0.0,0.0,1.0,104.0,104.0,,,,104,104,44.68780594300866,49.53777250790665,faceoff,8.0,0,,,0
faceoff,69.0,-22.0,69.0,-22.0,5v5,0,1,18:14,,,16,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,106.0,106.0,,,,106,106,29.73213749463701,42.27368900609374,missed-shot,2.0,0,,,0
shot-on-goal,35.0,33.0,36.43,33.0,5v5,0,1,17:58,8482807.0,Ethan Del Mastro,16,13,16,FLA,CHI,right,2025020001,snap,0.0,0.0,0.0,1.0,122.0,122.0,,,,122,122,63.28506932918696,121.42956561483852,faceoff,16.0,0,,,0
blocked-shot,43.0,-32.0,45.0,-32.0,5v5,0,1,17:52,8476473.0,Connor Murphy,16,13,16,FLA,CHI,right,2025020001,,0.0,0.0,0.0,1.0,128.0,128.0,,,,128,128,56.0357029044876,55.175510843043206,shot-on-goal,6.0,0,,,0
