Tampa Bay Lightning (2018-2019) X-Adjustments:
Recorded X=0ft: Adjustment = 0.0 ft
Recorded X=1ft: Adjustment = 0.0 ft
Recorded X=2ft: Adjustment = 0.0 ft
Recorded X=3ft: Adjustment = -1.0 ft
Recorded X=4ft: Adjustment = -1.0 ft
Recorded X=5ft: Adjustment = -2.0 ft
Recorded X=6ft: Adjustment = -2.0 ft
Recorded X=7ft: Adjustment = -2.0 ft
Recorded X=8ft: Adjustment = -2.0 ft
Recorded X=9ft: Adjustment = -3.0 ft
Recorded X=10ft: Adjustment = -2.0 ft
Recorded X=11ft: Adjustment = -2.0 ft
Recorded X=12ft: Adjustment = -2.0 ft
Recorded X=13ft: Adjustment = -2.0 ft
Recorded X=14ft: Adjustment = -1.0 ft
Recorded X=15ft: Adjustment = -1.0 ft
Recorded X=16ft: Adjustment = -1.0 ft
Recorded X=17ft: Adjustment = -1.0 ft
Recorded X=18ft: Adjustment = -1.0 ft
Recorded X=19ft: Adjustment = -2.0 ft
Recorded X=20ft: Adjustment = -1.0 ft
Recorded X=21ft: Adjustment = -1.0 ft
Recorded X=22ft: Adjustment = -1.0 ft
Recorded X=23ft: Adjustment = -2.0 ft
Recorded X=24ft: Adjustment = -3.0 ft
Recorded X=25ft: Adjustment = -3.0 ft
Recorded X=26ft: Adjustment = -4.0 ft
Recorded X=27ft: Adjustment = -5.0 ft
Recorded X=28ft: Adjustment = -6.0 ft
Recorded X=29ft: Adjustment = -6.0 ft
Recorded X=30ft: Adjustment = -6.0 ft
Recorded X=31ft: Adjustment = -5.0 ft
Recorded X=32ft: Adjustment = -3.0 ft
Recorded X=33ft: Adjustment = -2.0 ft
Recorded X=34ft: Adjustment = -2.0 ft
Recorded X=35ft: Adjustment = -1.0 ft
Recorded X=36ft: Adjustment = -1.0 ft
Recorded X=37ft: Adjustment = 0.0 ft
Recorded X=38ft: Adjustment = 0.0 ft
Recorded X=39ft: Adjustment = 1.0 ft
Recorded X=40ft: Adjustment = 2.0 ft
Recorded X=41ft: Adjustment = 2.0 ft
Recorded X=42ft: Adjustment = 2.0 ft
Recorded X=43ft: Adjustment = 3.0 ft
Recorded X=44ft: Adjustment = 3.0 ft
Recorded X=45ft: Adjustment = 3.0 ft
Recorded X=46ft: Adjustment = 3.0 ft
Recorded X=47ft: Adjustment = 3.0 ft
Recorded X=48ft: Adjustment = 3.0 ft
Recorded X=49ft: Adjustment = 2.0 ft
Recorded X=50ft: Adjustment = 2.0 ft
Recorded X=51ft: Adjustment = 2.0 ft
Recorded X=52ft: Adjustment = 2.0 ft
Recorded X=53ft: Adjustment = 2.0 ft
Recorded X=54ft: Adjustment = 2.0 ft
Recorded X=55ft: Adjustment = 2.0 ft
Recorded X=56ft: Adjustment = 2.0 ft
Recorded X=57ft: Adjustment = 2.0 ft
Recorded X=58ft: Adjustment = 2.0 ft
Recorded X=59ft: Adjustment = 2.0 ft
Recorded X=60ft: Adjustment = 2.0 ft
Recorded X=61ft: Adjustment = 2.0 ft
Recorded X=62ft: Adjustment = 2.0 ft
Recorded X=63ft: Adjustment = 3.0 ft
Recorded X=64ft: Adjustment = 4.0 ft
Recorded X=65ft: Adjustment = 4.0 ft
Recorded X=66ft: Adjustment = 4.0 ft
Recorded X=67ft: Adjustment = 5.0 ft
Recorded X=68ft: Adjustment = 5.0 ft
Recorded X=69ft: Adjustment = 6.0 ft
Recorded X=70ft: Adjustment = 6.0 ft
Recorded X=71ft: Adjustment = 6.0 ft
Recorded X=72ft: Adjustment = 6.0 ft
Recorded X=73ft: Adjustment = 6.0 ft
Recorded X=74ft: Adjustment = 6.0 ft
Recorded X=75ft: Adjustment = 7.0 ft
Recorded X=76ft: Adjustment = 7.0 ft
Recorded X=77ft: Adjustment = 7.0 ft
Recorded X=78ft: Adjustment = 7.0 ft
Recorded X=79ft: Adjustment = 7.0 ft
Recorded X=80ft: Adjustment = 7.0 ft
Recorded X=81ft: Adjustment = 8.0 ft
Recorded X=82ft: Adjustment = 8.0 ft
Recorded X=83ft: Adjustment = 8.0 ft
Recorded X=84ft: Adjustment = 10.0 ft
Recorded X=85ft: Adjustment = 14.0 ft
Recorded X=86ft: Adjustment = 13.0 ft
Recorded X=87ft: Adjustment = 12.0 ft
Recorded X=88ft: Adjustment = 11.0 ft
Recorded X=89ft: Adjustment = 10.0 ft
Recorded X=90ft: Adjustment = 9.0 ft
Recorded X=91ft: Adjustment = 8.0 ft
Recorded X=92ft: Adjustment = 7.0 ft
Recorded X=93ft: Adjustment = 6.0 ft
Recorded X=94ft: Adjustment = 5.0 ft
Recorded X=95ft: Adjustment = 4.0 ft
Recorded X=96ft: Adjustment = 3.0 ft
Recorded X=97ft: Adjustment = 2.0 ft
Recorded X=98ft: Adjustment = 1.0 ft
Recorded X=99ft: Adjustment = 0.0 ft
Recorded X=100ft: Adjustment = -1.0 ft
