game_id,our_5v5,gs_5v5,diff_5v5,our_5v4,gs_5v4,diff_5v4,our_4v5,gs_4v5,diff_4v5
2025020011,2823.0,2894,-71.0,278.0,278,0.0,428.0,428,0.0
2025020032,2464.0,2520,-56.0,600.0,600,0.0,480.0,480,0.0
2025020045,853.0,2795,-1942.0,436.0,569,-133.0,749.0,205,544.0
2025020052,3024.0,3042,-18.0,321.0,321,0.0,237.0,237,0.0
2025020057,0.0,2870,-2870.0,0.0,159,-159.0,0.0,561,-561.0
2025020071,0.0,3191,-3191.0,0.0,240,-240.0,0.0,169,-169.0
2025020087,0.0,3231,-3231.0,0.0,105,-105.0,0.0,264,-264.0
2025020089,0.0,2750,-2750.0,0.0,449,-449.0,0.0,401,-401.0
2025020097,0.0,2774,-2774.0,0.0,385,-385.0,0.0,346,-346.0
2025020102,0.0,3197,-3197.0,0.0,163,-163.0,0.0,240,-240.0
2025020110,2823.0,2823,0.0,496.0,496,0.0,177.0,177,0.0
2025020114,3137.0,3359,-222.0,190.0,190,0.0,51.0,51,0.0
2025020129,0.0,2813,-2813.0,0.0,519,-519.0,0.0,154,-154.0
2025020157,0.0,3140,-3140.0,0.0,340,-340.0,0.0,22,-22.0
2025020159,0.0,2857,-2857.0,0.0,383,-383.0,0.0,360,-360.0
2025020175,0.0,3079,-3079.0,0.0,281,-281.0,0.0,240,-240.0
2025020193,3070.0,3070,0.0,170.0,170,0.0,360.0,360,0.0
2025020200,3356.0,3458,-102.0,134.0,134,0.0,8.0,8,0.0
2025020244,0.0,2921,-2921.0,0.0,600,-600.0,0.0,79,-79.0
2025020266,0.0,3060,-3060.0,0.0,300,-300.0,0.0,240,-240.0
2025020293,3300.0,3304,-4.0,176.0,176,0.0,120.0,120,0.0
2025020297,3059.0,3162,-103.0,240.0,240,0.0,168.0,168,0.0
2025020309,0.0,2816,-2816.0,0.0,260,-260.0,0.0,480,-480.0
2025020310,0.0,3131,-3131.0,0.0,201,-201.0,0.0,109,-109.0
2025020319,0.0,3120,-3120.0,0.0,240,-240.0,0.0,0,0.0
2025020322,0.0,3000,-3000.0,0.0,360,-360.0,0.0,240,-240.0
2025020324,0.0,3174,-3174.0,0.0,240,-240.0,0.0,186,-186.0
2025020328,0.0,2869,-2869.0,0.0,411,-411.0,0.0,240,-240.0
2025020329,0.0,3006,-3006.0,0.0,240,-240.0,0.0,354,-354.0
2025020332,0.0,3014,-3014.0,0.0,240,-240.0,0.0,346,-346.0
2025020334,0.0,2830,-2830.0,0.0,460,-460.0,0.0,240,-240.0
2025020337,0.0,2851,-2851.0,0.0,360,-360.0,0.0,269,-269.0
2025020345,0.0,2553,-2553.0,0.0,524,-524.0,0.0,304,-304.0
2025020352,0.0,2725,-2725.0,0.0,395,-395.0,0.0,480,-480.0
2025020355,0.0,3237,-3237.0,0.0,0,0.0,0.0,363,-363.0
2025020362,0.0,2617,-2617.0,0.0,383,-383.0,0.0,503,-503.0
2025020366,0.0,3480,-3480.0,0.0,120,-120.0,0.0,0,0.0
2025020372,0.0,2961,-2961.0,0.0,396,-396.0,0.0,190,-190.0
2025020381,0.0,2801,-2801.0,0.0,560,-560.0,0.0,211,-211.0
2025020391,0.0,3120,-3120.0,0.0,240,-240.0,0.0,0,0.0
2025020424,3082.0,3082,0.0,360.0,360,0.0,158.0,158,0.0
2025020426,3242.0,3242,0.0,134.0,134,0.0,224.0,224,0.0
2025020433,2814.0,2974,-160.0,26.0,26,0.0,506.0,506,0.0
2025020446,2884.0,3088,-204.0,240.0,240,0.0,272.0,272,0.0
2025020448,3308.0,3358,-50.0,120.0,120,0.0,122.0,122,0.0
2025020480,3043.0,3092,-49.0,268.0,268,0.0,240.0,240,0.0
2025020482,2851.0,3115,-264.0,365.0,365,0.0,39.0,39,0.0
2025020483,3069.0,3072,-3.0,360.0,360,0.0,168.0,168,0.0
2025020498,2790.0,2796,-6.0,251.0,261,-10.0,332.0,332,0.0
2025020505,2710.0,2856,-146.0,355.0,355,0.0,264.0,264,0.0
2025020523,2757.0,2805,-48.0,399.0,454,-55.0,315.0,315,0.0
2025020524,2535.0,2696,-161.0,654.0,654,0.0,174.0,172,2.0
2025020532,2695.0,2820,-125.0,341.0,341,0.0,420.0,420,0.0
2025020534,1412.0,2900,-1488.0,899.0,272,627.0,248.0,428,-180.0
2025020543,3088.0,3204,-116.0,360.0,360,0.0,36.0,36,0.0
2025020549,3005.0,3006,-1.0,386.0,386,0.0,208.0,208,0.0
2025020550,2928.0,3000,-72.0,240.0,240,0.0,360.0,360,0.0
2025020582,2765.0,2798,-33.0,360.0,360,0.0,322.0,322,0.0
2025020586,2463.0,3161,-698.0,240.0,319,-79.0,0.0,10,-10.0
2025020617,2801.0,2899,-98.0,341.0,341,0.0,305.0,360,-55.0
2025020623,1699.0,2938,-1239.0,21.0,247,-226.0,1375.0,411,964.0
2025020644,0.0,3178,-3178.0,0.0,182,-182.0,0.0,0,0.0
2025020658,0.0,3278,-3278.0,0.0,0,0.0,0.0,322,-322.0
2025020661,0.0,3240,-3240.0,0.0,240,-240.0,0.0,120,-120.0
2025020667,0.0,3009,-3009.0,0.0,120,-120.0,0.0,471,-471.0
2025020678,0.0,2937,-2937.0,0.0,183,-183.0,0.0,423,-423.0
2025020719,0.0,2818,-2818.0,0.0,240,-240.0,0.0,302,-302.0
2025020731,0.0,3027,-3027.0,0.0,260,-260.0,0.0,213,-213.0
2025020733,0.0,3074,-3074.0,0.0,166,-166.0,0.0,286,-286.0
2025020741,1582.0,2775,-1193.0,755.0,345,410.0,210.0,480,-270.0
2025020742,2869.0,3048,-179.0,192.0,192,0.0,360.0,360,0.0
2025020747,3158.0,3258,-100.0,240.0,240,0.0,102.0,102,0.0
2025020753,2880.0,2880,0.0,360.0,360,0.0,240.0,240,0.0
2025020754,2739.0,2739,0.0,308.0,308,0.0,374.0,374,0.0
2025020761,3171.0,3195,-24.0,120.0,120,0.0,165.0,165,0.0
2025020781,0.0,3360,-3360.0,0.0,120,-120.0,0.0,0,0.0
2025020785,0.0,2906,-2906.0,0.0,286,-286.0,0.0,408,-408.0
2025020797,0.0,3240,-3240.0,0.0,120,-120.0,0.0,240,-240.0
2025020804,0.0,2779,-2779.0,0.0,492,-492.0,0.0,329,-329.0
2025020815,0.0,3120,-3120.0,0.0,120,-120.0,0.0,360,-360.0
2025020848,0.0,3000,-3000.0,0.0,360,-360.0,0.0,240,-240.0
2025020865,2705.0,2820,-115.0,436.0,460,-24.0,300.0,300,0.0
2025020873,2859.0,2859,0.0,316.0,316,0.0,193.0,193,0.0
2025020875,3120.0,3219,-99.0,141.0,141,0.0,240.0,240,0.0
2025020878,2769.0,2941,-172.0,409.0,409,0.0,240.0,240,0.0
2025020881,2666.0,2674,-8.0,446.0,446,0.0,480.0,480,0.0
2025020904,1538.0,2590,-1052.0,1040.0,194,846.0,304.0,612,-308.0
2025020936,0.0,3105,-3105.0,0.0,208,-208.0,0.0,287,-287.0
2025020940,0.0,2649,-2649.0,0.0,360,-360.0,0.0,471,-471.0
2025020944,0.0,3600,-3600.0,0.0,0,0.0,0.0,0,0.0
2025020962,3121.0,3298,-177.0,148.0,148,0.0,154.0,154,0.0
2025020967,2719.0,2826,-107.0,342.0,342,0.0,299.0,299,0.0
2025020990,2508.0,2622,-114.0,618.0,618,0.0,347.0,347,0.0
2025021019,2974.0,3011,-37.0,240.0,240,0.0,349.0,349,0.0
2025021061,2552.0,2679,-127.0,441.0,441,0.0,480.0,480,0.0
2025021069,2987.0,3003,-16.0,120.0,120,0.0,477.0,477,0.0
2025021070,2856.0,2858,-2.0,501.0,502,-1.0,120.0,120,0.0
2025021071,3011.0,3122,-111.0,370.0,370,0.0,108.0,108,0.0
2025021109,2912.0,2971,-59.0,107.0,126,-19.0,291.0,291,0.0
2025021113,2867.0,2880,-13.0,360.0,360,0.0,360.0,0,360.0
