
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,904 K
Secure System                  236 Services                   0    135,536 K
Registry                       280 Services                   0     38,892 K
smss.exe                       824 Services                   0        648 K
csrss.exe                     1196 Services                   0      3,108 K
wininit.exe                   1284 Services                   0      3,896 K
services.exe                  1372 Services                   0      8,408 K
LsaIso.exe                    1392 Services                   0      1,948 K
lsass.exe                     1400 Services                   0     26,916 K
svchost.exe                   1596 Services                   0     31,348 K
fontdrvhost.exe               1628 Services                   0        756 K
svchost.exe                   1728 Services                   0     18,624 K
svchost.exe                   1780 Services                   0      8,748 K
svchost.exe                   1956 Services                   0      1,588 K
svchost.exe                   1296 Services                   0      8,372 K
svchost.exe                    780 Services                   0      3,064 K
svchost.exe                    928 Services                   0     12,668 K
svchost.exe                   2112 Services                   0      5,392 K
svchost.exe                   2128 Services                   0      6,568 K
svchost.exe                   2136 Services                   0      5,820 K
svchost.exe                   2188 Services                   0     17,704 K
svchost.exe                   2296 Services                   0      2,220 K
svchost.exe                   2320 Services                   0      2,780 K
svchost.exe                   2488 Services                   0      7,440 K
svchost.exe                   2588 Services                   0     13,640 K
svchost.exe                   2724 Services                   0      6,904 K
svchost.exe                   2824 Services                   0      7,168 K
NVDisplay.Container.exe       2900 Services                   0     30,896 K
svchost.exe                   2936 Services                   0      4,932 K
WUDFHost.exe                  2996 Services                   0      5,524 K
svchost.exe                   3036 Services                   0      4,584 K
svchost.exe                   3060 Services                   0      4,784 K
svchost.exe                   3068 Services                   0     16,148 K
amdfendrsr.exe                2076 Services                   0      2,104 K
svchost.exe                   3184 Services                   0     11,232 K
svchost.exe                   3276 Services                   0      9,068 K
svchost.exe                   3284 Services                   0      2,016 K
svchost.exe                   3292 Services                   0      5,520 K
Memory Compression            3432 Services                   0    473,424 K
svchost.exe                   3488 Services                   0      6,108 K
svchost.exe                   3532 Services                   0      6,452 K
svchost.exe                   3540 Services                   0      4,448 K
dasHost.exe                   3696 Services                   0     15,308 K
svchost.exe                   3740 Services                   0     12,456 K
svchost.exe                   3772 Services                   0      3,844 K
svchost.exe                   3840 Services                   0      7,144 K
svchost.exe                   3848 Services                   0      6,192 K
svchost.exe                   3960 Services                   0     35,004 K
svchost.exe                   4076 Services                   0     10,172 K
svchost.exe                   3108 Services                   0     10,108 K
svchost.exe                   4160 Services                   0     15,728 K
spoolsv.exe                   4220 Services                   0      6,916 K
svchost.exe                   4268 Services                   0     14,956 K
svchost.exe                   4488 Services                   0      3,492 K
svchost.exe                   4788 Services                   0     14,184 K
svchost.exe                   4796 Services                   0     39,240 K
AmdPpkgSvc.exe                4808 Services                   0        948 K
svchost.exe                   4836 Services                   0      4,720 K
svchost.exe                   4844 Services                   0     39,820 K
RtkBtManServ.exe              4856 Services                   0      1,704 K
svchost.exe                   4864 Services                   0      6,464 K
svchost.exe                   4880 Services                   0      1,944 K
svchost.exe                   4888 Services                   0     14,164 K
svchost.exe                   4896 Services                   0      2,124 K
RtkAudUService64.exe          4908 Services                   0     11,008 K
OfficeClickToRun.exe          4972 Services                   0     37,396 K
svchost.exe                   5676 Services                   0      4,724 K
svchost.exe                   6168 Services                   0      6,104 K
svchost.exe                   6452 Services                   0     16,964 K
AggregatorHost.exe            7144 Services                   0      3,604 K
svchost.exe                   7568 Services                   0     22,044 K
svchost.exe                   7736 Services                   0     10,332 K
svchost.exe                   7984 Services                   0     15,528 K
svchost.exe                   8060 Services                   0      1,284 K
svchost.exe                   8264 Services                   0      7,364 K
svchost.exe                   8556 Services                   0      5,412 K
svchost.exe                   8592 Services                   0      8,976 K
NgcIso.exe                    8608 Services                   0      1,912 K
svchost.exe                   8520 Services                   0      5,268 K
svchost.exe                   7212 Services                   0     25,784 K
SearchIndexer.exe            10992 Services                   0     25,820 K
svchost.exe                  13272 Services                   0      2,132 K
svchost.exe                  12340 Services                   0      4,820 K
svchost.exe                   8784 Services                   0     18,684 K
SecurityHealthService.exe    14500 Services                   0     20,036 K
svchost.exe                  14856 Services                   0     13,496 K
