Config: Platform=Mac/PC, Workers=4
Data Dir: C:/Users/harri/Desktop/new_puck/data
Patching cache for 25 games...
Game 2025020597: SUCCESS (700 shifts)
Game 2025020598: SUCCESS (749 shifts)
Game 2025020599: SUCCESS (722 shifts)
Game 2025020600: SUCCESS (798 shifts)
Game 2025020602: SUCCESS (752 shifts)
Game 2025020603: SUCCESS (684 shifts)
Game 2025020712: SUCCESS (341 shifts)
Game 2025020640: SUCCESS (375 shifts)
Game 2025020641: SUCCESS (398 shifts)
Game 2025020642: SUCCESS (369 shifts)
Game 2025020643: SUCCESS (340 shifts)
Game 2025020644: SUCCESS (360 shifts)
Game 2025020645: SUCCESS (388 shifts)
Game 2025020646: SUCCESS (356 shifts)
Game 2025020647: SUCCESS (404 shifts)
Game 2025020648: SUCCESS (341 shifts)
Game 2025020649: SUCCESS (347 shifts)
Game 2025020650: SUCCESS (363 shifts)
Game 2025020651: SUCCESS (439 shifts)
Game 2025020652: SUCCESS (394 shifts)
Game 2025020653: SUCCESS (372 shifts)
Game 2025020654: SUCCESS (404 shifts)
Game 2025020655: SUCCESS (321 shifts)
Game 2025020656: SUCCESS (373 shifts)
Game 2025020657: SUCCESS (343 shifts)
