event,x,y,game_state,is_net_empty,period,period_time,player_id,team_id,home_id,away_id,home_abb,away_abb,home_team_defending_side,game_id,synthetic,predicted_penalty_duration_seconds,predicted_penalty_end_total_seconds,periodTime_seconds_elapsed,total_time_elapsed_seconds,distance,angle_deg,xgs,x_a,y_a
faceoff,0.0,0.0,5v5,0,1,20:00,,4,4,1,PHI,NJD,right,2025020339,,,,0,0,89.0,90.0,,0.0,0.0
giveaway,33.0,-8.0,5v5,0,1,19:35,8479407.0,1,4,1,PHI,NJD,right,2025020339,,,,25,25,56.568542494923804,81.86989764584403,,33.0,-8.0
faceoff,-20.0,-22.0,5v5,0,1,19:28,,4,4,1,PHI,NJD,right,2025020339,,,,32,32,72.42237223399962,107.68439202655776,,-20.0,-22.0
faceoff,20.0,-22.0,5v5,0,1,18:35,,1,4,1,PHI,NJD,right,2025020339,,,,85,85,72.42237223399962,72.31560797344225,,20.0,-22.0
hit,99.0,8.0,5v5,0,1,18:30,,1,4,1,PHI,NJD,right,2025020339,,,,90,90,12.806248474865697,231.3401917459099,,99.0,8.0
faceoff,-20.0,-22.0,5v5,0,1,17:48,,1,4,1,PHI,NJD,right,2025020339,,,,132,132,111.19802156513397,78.58901687323461,,-20.0,-22.0
hit,-75.0,39.0,5v5,0,1,17:32,,1,4,1,PHI,NJD,right,2025020339,,,,148,148,168.5734261382855,103.37675282985145,,-75.0,39.0
faceoff,69.0,22.0,5v5,0,1,17:12,,1,4,1,PHI,NJD,right,2025020339,,,,168,168,29.732137494637012,137.72631099390625,,69.0,22.0
blocked-shot,46.0,-6.0,5v5,0,1,17:09,8479407.0,1,4,1,PHI,NJD,right,2025020339,,,,171,171,43.41658669218482,82.05652818940959,0.013567942221675287,46.0,-6.0
giveaway,-50.0,-42.0,5v5,0,1,16:56,8482684.0,1,4,1,PHI,NJD,right,2025020339,,,,184,184,145.2067491544384,73.1873737645758,,-50.0,-42.0
shot-on-goal,39.0,29.0,5v5,0,1,16:41,8475455.0,1,4,1,PHI,NJD,right,2025020339,,,,199,199,57.8013840664737,120.11373315098244,0.0024535219180438004,39.0,29.0
faceoff,69.0,22.0,5v5,0,1,16:39,,1,4,1,PHI,NJD,right,2025020339,,,,201,201,29.732137494637012,137.72631099390625,,69.0,22.0
shot-on-goal,37.0,19.0,5v5,0,1,16:37,8481721.0,1,4,1,PHI,NJD,right,2025020339,,,,203,203,55.362442142665635,110.07152586453873,0.010488631940012465,37.0,19.0
missed-shot,72.0,-39.0,5v5,0,1,16:34,8476462.0,1,4,1,PHI,NJD,right,2025020339,,,,206,206,42.5440947723653,23.55226367289465,0.01778351345336655,72.0,-39.0
shot-on-goal,83.0,-23.0,5v5,0,1,16:25,8477015.0,1,4,1,PHI,NJD,right,2025020339,,,,215,215,23.769728648009426,14.620873988631656,0.006249055796226521,83.0,-23.0
faceoff,69.0,-22.0,5v5,0,1,16:23,,4,4,1,PHI,NJD,right,2025020339,,,,217,217,159.52429282087414,97.9269266826896,,69.0,-22.0
giveaway,46.0,-31.0,5v5,0,1,15:14,8480002.0,1,4,1,PHI,NJD,right,2025020339,,,,286,286,53.009433122794285,54.21102654081667,,46.0,-31.0
giveaway,-82.0,-39.0,5v5,0,1,15:05,8476461.0,4,4,1,PHI,NJD,right,2025020339,,,,295,295,39.6232255123179,169.8244891569568,,-82.0,-39.0
hit,-98.0,-9.0,5v5,0,1,14:38,,4,4,1,PHI,NJD,right,2025020339,,,,322,322,12.727922061357855,225.0,,-98.0,-9.0
missed-shot,50.0,-33.0,5v5,0,1,14:10,8482684.0,1,4,1,PHI,NJD,right,2025020339,,,,350,350,51.088159097779204,49.76364169072618,0.019766696831564852,50.0,-33.0
blocked-shot,84.0,8.0,5v5,0,1,14:08,8476292.0,1,4,1,PHI,NJD,right,2025020339,,,,352,352,9.433981132056603,147.9946167919165,0.08768903472316052,84.0,8.0
shot-on-goal,-82.0,-4.0,5v5,0,1,13:53,8482126.0,4,4,1,PHI,NJD,right,2025020339,,,,367,367,8.06225774829855,119.74488129694222,0.15162070140115008,-82.0,-4.0
penalty,94.0,12.0,5v5,0,1,13:42,,4,4,1,PHI,NJD,right,2025020339,,,,378,378,183.3930205869351,86.24827092947402,,94.0,12.0
giveaway,-90.0,32.0,5v5,0,1,12:16,8478399.0,1,4,1,PHI,NJD,right,2025020339,,,,464,464,181.8378398463862,100.13574972554458,,-90.0,32.0
shot-on-goal,-73.0,22.0,5v5,0,1,11:39,8481533.0,4,4,1,PHI,NJD,right,2025020339,,,,501,501,27.202941017470888,36.02737338510361,0.05252667093831305,-73.0,22.0
shot-on-goal,-61.0,9.0,5v5,0,1,11:02,8481178.0,4,4,1,PHI,NJD,right,2025020339,,,,538,538,29.410882339705484,72.18111108547723,0.0503473727112881,-61.0,9.0
goal,-80.0,16.0,5v5,0,1,11:00,,4,4,1,PHI,NJD,right,2025020339,,,,540,540,18.35755975068582,29.357753542791276,0.03849354117919441,-80.0,16.0
faceoff,0.0,0.0,5v5,0,1,11:00,,1,4,1,PHI,NJD,right,2025020339,,,,540,540,89.0,90.0,,0.0,0.0
faceoff,-69.0,-22.0,5v5,0,1,10:53,,1,4,1,PHI,NJD,right,2025020339,,,,547,547,159.52429282087414,82.0730733173104,,-69.0,-22.0
hit,21.0,40.0,5v5,0,1,09:12,,4,4,1,PHI,NJD,right,2025020339,,,,648,648,117.04699910719626,70.01689347810003,,21.0,40.0
missed-shot,-88.0,-18.0,5v5,0,1,09:01,8481533.0,4,4,1,PHI,NJD,right,2025020339,,,,659,659,18.027756377319946,176.82016988013575,0.0,-88.0,-18.0
missed-shot,-58.0,16.0,5v5,0,1,08:58,8480015.0,4,4,1,PHI,NJD,right,2025020339,,,,662,662,34.88552708502482,62.7004277886672,0.06221606643017987,-58.0,16.0
shot-on-goal,-23.0,-41.0,5v5,0,1,08:21,8476462.0,1,4,1,PHI,NJD,right,2025020339,,,,699,699,119.26860441876563,69.89376520164068,0.0,-23.0,-41.0
faceoff,69.0,22.0,5v5,0,1,08:18,,1,4,1,PHI,NJD,right,2025020339,,,,702,702,29.732137494637012,137.72631099390625,,69.0,22.0
missed-shot,-81.0,-30.0,5v5,0,1,08:10,8484387.0,4,4,1,PHI,NJD,right,2025020339,,,,710,710,31.04834939252005,165.06858282186246,0.0,-81.0,-30.0
goal,-69.0,-6.0,5v5,0,1,07:54,,4,4,1,PHI,NJD,right,2025020339,,,,726,726,20.8806130178211,106.69924423399362,0.05174586488675516,-69.0,-6.0
faceoff,0.0,0.0,5v5,0,1,07:54,,4,4,1,PHI,NJD,right,2025020339,,,,726,726,89.0,90.0,,0.0,0.0
goal,-61.0,-16.0,5v5,0,1,07:45,,4,4,1,PHI,NJD,right,2025020339,,,,735,735,32.2490309931942,119.74488129694222,0.02668364004025026,-61.0,-16.0
faceoff,0.0,0.0,5v5,0,1,07:45,,1,4,1,PHI,NJD,right,2025020339,,,,735,735,89.0,90.0,,0.0,0.0
goal,-65.0,29.0,5v5,0,1,07:28,,4,4,1,PHI,NJD,right,2025020339,,,,752,752,37.64306044943742,39.61068824002659,0.01416931961369021,-65.0,29.0
faceoff,0.0,0.0,5v5,0,1,07:28,,1,4,1,PHI,NJD,right,2025020339,,,,752,752,89.0,90.0,,0.0,0.0
hit,-97.0,-16.0,5v5,0,1,06:52,,4,4,1,PHI,NJD,right,2025020339,,,,788,788,17.88854381999832,206.565051177078,,-97.0,-16.0
hit,95.0,-23.0,5v5,0,1,06:03,,1,4,1,PHI,NJD,right,2025020339,,,,837,837,23.769728648009426,345.3791260113683,,95.0,-23.0
giveaway,-92.0,-23.0,5v5,0,1,05:28,8484387.0,4,4,1,PHI,NJD,right,2025020339,,,,872,872,23.194827009486403,187.43140797117252,,-92.0,-23.0
takeaway,-79.0,6.0,5v5,0,1,05:21,8476461.0,4,4,1,PHI,NJD,right,2025020339,,,,879,879,11.661903789690601,59.03624346792648,,-79.0,6.0
penalty_end,,,5v5,0,1,08:18,,4,4,1,PHI,NJD,right,2025020339,True,120.0,498.0,498,498,,,,,
penalty_end,,,5v5,0,1,08:18,,4,4,1,PHI,NJD,right,2025020339,True,120.0,498.0,498,498,,,,,
missed-shot,-83.0,13.0,5v5,0,1,03:11,8476461.0,4,4,1,PHI,NJD,right,2025020339,,,,1009,1009,14.317821063276353,24.77514056883192,0.03594683101953615,-83.0,13.0
faceoff,-69.0,22.0,5v5,0,1,03:09,,1,4,1,PHI,NJD,right,2025020339,,,,1011,1011,159.52429282087414,97.9269266826896,,-69.0,22.0
hit,-96.0,18.0,5v5,0,1,03:05,,1,4,1,PHI,NJD,right,2025020339,,,,1015,1015,185.87361297397757,95.55723220955083,,-96.0,18.0
takeaway,-75.0,33.0,5v5,0,1,03:00,8477989.0,4,4,1,PHI,NJD,right,2025020339,,,,1020,1020,35.84689665786984,22.98871680208064,,-75.0,33.0
hit,96.0,2.0,5v5,0,1,02:23,,4,4,1,PHI,NJD,right,2025020339,,,,1057,1057,185.0108104949546,89.3806102967819,,96.0,2.0
blocked-shot,73.0,-7.0,5v5,0,1,02:14,8476462.0,1,4,1,PHI,NJD,right,2025020339,,,,1066,1066,17.46424919657298,66.37062226934319,0.06195346745771075,73.0,-7.0
hit,9.0,41.0,5v5,0,1,02:07,,1,4,1,PHI,NJD,right,2025020339,,,,1073,1073,89.89438247187641,117.13513962207689,,9.0,41.0
hit,-42.0,-40.0,5v5,0,1,01:56,,4,4,1,PHI,NJD,right,2025020339,,,,1084,1084,61.71709649683789,130.39990433373674,,-42.0,-40.0
penalty,26.0,23.0,5v5,0,1,01:34,,4,4,1,PHI,NJD,right,2025020339,,,,1106,1106,117.27744881263405,78.69006752597979,,26.0,23.0
penalty,25.0,27.0,5v5,0,1,01:34,,1,4,1,PHI,NJD,right,2025020339,,,,1106,1106,69.46221994724903,112.87366519062671,,25.0,27.0
penalty,-29.0,24.0,5v5,0,1,01:34,,4,4,1,PHI,NJD,right,2025020339,,,,1106,1106,64.62197768561404,68.19859051364818,,-29.0,24.0
hit,-91.0,33.0,5v5,0,2,19:33,,1,4,1,PHI,NJD,left,2025020339,,,,27,1227,33.06055050963308,356.5317707410829,,91.0,-33.0
giveaway,18.0,41.0,5v5,0,2,19:29,8482684.0,1,4,1,PHI,NJD,left,2025020339,,,,31,1231,114.58621208504974,69.03428815944258,,-18.0,-41.0
shot-on-goal,59.0,-32.0,5v5,0,2,19:25,8482684.0,1,4,1,PHI,NJD,left,2025020339,,,,35,1235,151.4199458459816,102.2004687273808,0.0,-59.0,32.0
missed-shot,-88.0,-6.0,5v5,0,2,19:14,8478414.0,1,4,1,PHI,NJD,left,2025020339,,,,46,1246,6.082762530298219,170.53767779197437,0.04813605356146312,88.0,6.0
giveaway,-96.0,-13.0,5v5,0,2,19:09,8478414.0,1,4,1,PHI,NJD,left,2025020339,,,,51,1251,14.7648230602334,208.30075576600638,,96.0,13.0
