team,team_xg_per60,league_avg_xg_per60,relative_off_per60,other_xg_per60,relative_def_per60,rel_off_pct,rel_def_pct,team_xgs,team_seconds
COL,3.20814324707608,2.559540968245728,0.6193551984247483,2.5415825817449833,-0.06874722764346464,24.19790134671082,-2.6859201902356333,59.7151307898114,67009.0
CAR,3.155859736776037,2.559540968245728,0.5532165066936878,2.2088439985208597,-0.3915551072733292,21.61389536471668,-15.297864426905242,60.09984217608098,68558.0
WSH,3.0503606452786727,2.559540968245728,0.45741814664327674,2.445016449968395,-0.13737830890615266,17.871100807453942,-5.367302598805821,62.11127399468404,73303.0
DET,2.7844143741092076,2.559540968245728,0.19324276997143341,2.7164042181715757,0.13456537457942197,7.549899469039527,5.257402645586529,56.30395243823719,72796.0
CGY,2.7999876071568375,2.559540968245728,0.18905909437048596,2.418495201989057,-0.17007268373227724,7.38644533203406,-6.64465565670717,56.360639434725854,72464.0
CBJ,2.7824357866485814,2.559540968245728,0.17472003520639,2.598774324232685,0.019057006903014706,6.826225380801018,0.7445478364847623,57.55004685384816,74460.0
FLA,2.7564008450115165,2.559540968245728,0.16602481527457114,2.340880985028521,-0.2453017130509565,6.486507437634886,-9.583816633303693,50.65192819469219,66154.0
NSH,2.7355977112903234,2.559540968245728,0.14162828809693995,2.3157072248854638,-0.29447895014891756,5.5333471842808555,-11.505146969800178,51.31297406952824,67527.0
ANA,2.707881571283405,2.559540968245728,0.1045358428789318,2.9999833859915177,0.4120185704027661,4.084163690905059,16.097361812698686,52.71117135300755,70077.0
PIT,2.6898556237387905,2.559540968245728,0.100669872905641,2.958204641231601,0.37175860067645194,3.933122155674603,14.524424703045478,52.18544064688565,69843.0
TBL,2.672403449905336,2.559540968245728,0.08503486181621511,2.434148429185369,-0.14826929006034195,3.322270003534921,-5.792807847180643,48.59839907082018,65467.0
BUF,2.6632107809923995,2.559540968245728,0.07751928447063117,2.583972787910121,-0.013807087258745021,3.0286401129090637,-0.5394360719378598,52.11237695706878,70443.0
UTA,2.6617673731453766,2.559540968245728,0.0758728493970815,2.411127422829035,-0.180718322228421,2.9643147087066803,-7.060575488747996,55.65755577246983,75276.0
VGK,2.6504188041992425,2.559540968245728,0.06385475276750308,2.4398960625043578,-0.1490438546516848,2.49477361603898,-5.823069702761479,52.498170464176496,71307.0
LAK,2.6516514578318287,2.559540968245728,0.06030917112060852,2.368378392060244,-0.2233541429831556,2.356249494296766,-8.72633592328234,53.074277068202846,72056.0
NYR,2.576562530808365,2.559540968245728,-0.013149327784201414,2.2425783209407486,-0.36062336540395945,-0.5137377345131448,-14.089376567046138,56.92843340639671,79541.0
STL,2.554802114241449,2.559540968245728,-0.02619545442759108,2.471645772366381,-0.11865199470733767,-1.0234434514851725,-4.635674762754824,54.640830218339,76995.0
OTT,2.5438130285552494,2.559540968245728,-0.042661460601921775,2.2817825739924946,-0.3037918294549642,-1.6667621706856803,-11.868996559300188,51.19777027332516,72455.0
NJD,2.5327187346278026,2.559540968245728,-0.0673703759229034,2.659829907794694,0.08022120276173483,-2.6321272743322432,3.134202724511078,51.89611040550552,73765.0
EDM,2.516071401142685,2.559540968245728,-0.073847683915512,2.6320254206745526,0.03477365199873983,-2.8851924947357306,1.3585893888845695,55.98678212775998,80106.0
WPG,2.513969173230468,2.559540968245728,-0.07411075740801198,2.764328777564999,0.16240040955722312,-2.8954706460044046,6.344903698436598,45.06010413107477,64526.0
MIN,2.4852285245946324,2.559540968245728,-0.11120086158237497,2.8547378827416243,0.2573713581651669,-4.344562675962573,10.05537169977652,49.780508030144155,72110.0
NYI,2.477576796904252,2.559540968245728,-0.11158758359039878,2.7963528173147525,0.20566505341203856,-4.359671713591648,8.035231940553714,49.26386174333338,71582.0
TOR,2.412785044505821,2.559540968245728,-0.17276839586659776,2.808953893177011,0.2207289481274466,-6.749975796832457,8.623770858363363,47.1806711091755,70396.0
VAN,2.413029789037141,2.559540968245728,-0.17871577402783734,3.1084931857939293,0.5174100234614731,-6.98233692076148,20.214953770249608,48.96506642193116,73051.0
BOS,2.403656356104135,2.559540968245728,-0.20097216898665682,2.9215248257137416,0.32737670831672894,-7.8518832665687,12.790446114293225,49.23155594926066,73735.0
MTL,2.3802333829631612,2.559540968245728,-0.21450778288425898,2.587204015553475,0.00010033183143765001,-8.380713008523536,0.003919915042673296,42.18963671302203,63810.0
DAL,2.322375672167856,2.559540968245728,-0.25882116400335287,2.4165670554050824,-0.17164639432981588,-10.112014896981512,-6.7061397515922465,44.12900839730955,68406.0
SJS,2.302542416573416,2.559540968245728,-0.2866507483781713,2.802296198146249,0.21427070299175277,-11.199302997468234,8.37145041435343,47.66518640353257,74524.0
PHI,2.2530791341530403,2.559540968245728,-0.3291636646351557,2.4003676512544208,-0.19445178445988498,-12.860261614048696,-7.5971350672757305,44.07836398312902,70429.0
CHI,2.219006119140653,2.559540968245728,-0.36394333724360495,2.7900419659567506,0.19984510373644593,-14.219086225177572,7.8078493845487,43.73845978002822,70959.0
SEA,2.0814928731826687,2.559540968245728,-0.5067255439622103,2.5982857306288962,0.0012439980684928464,-19.79751643942283,0.04860238940990519,39.53911351103434,68384.0
